EdgeDesc,Begin,End,Note
Arrow,7.NS.3,7.EE.3,
Arrow,7.NS.3,7.EE.4.a,
Arrow,7.NS.3,7.EE.4.a||no fluency,
Arrow,7.NS.3,8.EE.2,
Arrow,7.RP.1,7.RP.2,
Nondirectional link,7.RP.2,7.EE.4.a||no fluency,
Arrow,7.RP.2,7.G.1,
Arrow,7.RP.2,7.RP.3,
Arrow,7.RP.2,8.EE.5,
Arrow,7.RP.2,8.EE.6,
Arrow,7.RP.2,8.F.1,
Arrow,7.RP.2,8.F.2,
Arrow,7.RP.2,8.F.4,
Arrow,7.RP.3,7.SP.6,
Arrow,7.RP.3,7.SP.7,
Arrow,7.RP.3,7.SP.8,
Arrow,7.SP.1,7.SP.2,
Arrow,7.SP.2,7.SP.4,
Arrow,7.SP.3,7.SP.4,
Arrow,7.SP.5,7.SP.1,
Arrow,7.SP.5,7.SP.6,
Arrow,7.SP.6,7.SP.7,
Arrow,7.SP.7,7.SP.8,
Arrow,8.EE.1,8.EE.3,
Arrow,8.EE.1,8.EE.4,
Nondirectional link,8.EE.2,8.G.6,
Arrow,8.EE.2,8.G.9,
Nondirectional link,8.EE.3,8.EE.4,
Nondirectional link,8.EE.5,8.EE.6,
Arrow,8.EE.5,8.F.2,
Arrow,8.EE.6,8.EE.8,
Arrow,8.EE.6,8.F.2,
Arrow,8.EE.6,8.F.3,
Nondirectional link,8.EE.7.a,8.EE.7.b,
Nondirectional link,8.EE.7.b,8.SP.3,
Arrow,8.F.1,8.F.2,
Arrow,8.F.1,8.F.3,
Arrow,8.F.1,8.F.5,
Arrow,8.F.2,8.F.3,
Arrow,8.F.2,8.F.5,
Arrow,8.F.3,8.F.4,
Arrow,8.F.3,8.F.5,
Nondirectional link,8.F.5,8.F.4,
Arrow,8.G.1,8.G.2,
Arrow,8.G.1,8.G.3,
Arrow,8.G.2,8.G.4,
Arrow,8.G.2,8.G.5,
Arrow,8.G.3,8.G.4,
Arrow,8.G.4,8.G.5,
Arrow,8.G.5,8.EE.6,
Nondirectional link,8.G.6,8.G.7,
Arrow,8.G.7,8.G.8,
Nondirectional link,8.NS.1,8.EE.2,
Nondirectional link,8.NS.1,8.NS.2,
Nondirectional link,8.NS.2,8.EE.2,
Arrow,8.SP.1,8.SP.2,
Nondirectional link,8.SP.2,8.F.4,
Arrow,8.SP.2,8.SP.3,
Nondirectional link,8.SP.3,8.F.4,
